Familia;Proveedor;Codigo;Descripcion;Costo;Precio;Nuevo Precio;Coef ARS;Costo USD
TELAS;ALHAMBRA;AL09-014;TELA ART 375 VOILE NEVE 3.00;6411,79;$ 12.520;;1,952652847;
TELAS;ALHAMBRA;AL09-015;TELA ART 381 VOILE TRIPLE 3.00;8353,84;$ 16.290;;1,950001436;
TELAS;ALHAMBRA;AL09-016;TELA ART 587 ANDORRA 3.00;9073,79;$ 17.720;;1,952877464;
TELAS;ALHAMBRA;AL09-017;TELA ART 594 CREPPE VICTORIA 3.00;8007,78;$ 15.620;;1,950603039;
TELAS;ALHAMBRA;AL09-018;TELA ART 602 CANTABRIA 3.00;8545,02;$ 16.640;;1,947333067;
TELAS;ALHAMBRA;AL09-019;TELA ART 690 ATINA 3.00;9918,37;$ 19.400;;1,955966555;
TELAS;ALHAMBRA;AL09-020;TELA ART 760 LAISA SHANTUG  2.90;10683,09;$ 20.860;;1,952618578;
TELAS;ALHAMBRA;AL09-021;TELA ART 855 VOILE DE HILO 3.00;8390,14;$ 16.390;;1,953483494;
TELAS;ALHAMBRA;AL09-022;TELA ART 899 CLOTH  3.00;15311,34;$ 29.860;;1,950188553;
TELAS;ALHAMBRA;AL09-023;TELA ART 900 CLOTH PREMIUM 3.00;22380,16;$ 43.640;;1,949941377;
TELAS;ALHAMBRA;AL09-024;TELA ART 1032 LINO RUSTICO 3.00;13699,62;$ 26.720;;1,950419063;
TELAS;ALHAMBRA;AL09-025;TELA ART 1034 LORSON FSIA 3.00;10611,7;$ 20.690;;1,949734727;
TELAS;ALHAMBRA;AL09-026;TELA ART 1039 VOILE RUSTICO LINO 3.00;10309,2;$ 20.120;;1,951654833;
TELAS;ALHAMBRA;AL09-027;TELA ART 1040 VOILE LINO 3.00;11536,14;$ 22.520;;1,952126101;
TELAS;ALHAMBRA;AL09-028;TELA ART 1064 VOILE FSIA BARI 2.90;9924,42;$ 19.360;;1,950743721;
TELAS;ALHAMBRA;AL09-029;TELA ART 1068 STREGA 3.00;10610,49;$ 20.690;;1,949957071;
TELAS;ALHAMBRA;AL09-030;TELA ART 1280 BAMBULA DE 2.30;6945,4;$ 13.560;;1,952371354;
TELAS;ALHAMBRA;AL09-031;TELA ART 1282 BAMBULA  2.80;8557,12;$ 16.690;;1,950422572;
TELAS;ALHAMBRA;AL09-032;TELA ART 1286 ISADORA 2.80;14746,27;$ 28.760;;1,950323709;
TELAS;ALHAMBRA;AL09-033;TELA ART 1301 GASA PORTOBELLO 2.90;10268,06;$ 20.100;;1,957526543;
TELAS;ALHAMBRA;AL09-034;TELA ART 1319 OXFORD 2.80;19326,12;$ 37.690;;1,950210389;
TELAS;ALHAMBRA;AL09-035;TELA ART 1498 MOGA CRASH 2.70;15204,86;$ 29.640;;1,949376712;
TELAS;ALHAMBRA;AL09-036;TELA ART 1538 ALDINA 3.00;10254,75;$ 19.960;;1,946415076;
TELAS;ALHAMBRA;AL09-037;TELA ART 1577 YALA FANTASIA 3.00;12212,53;$ 23.860;;1,953731127;
TELAS;ALHAMBRA;AL09-038;TELA ART 1643 POMPOM 3.00;10935,98;$ 21.360;;1,953185723;
TELAS;ALHAMBRA;AL09-039;TELA ART 1670 LIMURI 3.00;12392,82;$ 24.190;;1,951936686;
TELAS;ALHAMBRA;AL09-040;TELA ART 1832 CASCAIS CON LINO 3.00;14718,44;$ 28.720;;1,951293751;
TELAS;ALHAMBRA;AL09-041;TELA ART 1880 GASA CON CHENIL 3.00;9188,74;$ 17.920;;1,950212978;
TELAS;ALHAMBRA;AL09-042;TELA ART 1950 TORINO 1.40;9913,53;$ 19.360;;1,952886611;
TELAS;ALHAMBRA;AL09-043;TELA ART 2085 MODENA 2.80;41843,01;$ 81.600;;1,950146512;
TELAS;ALHAMBRA;AL09-044;TELA ART 2090 ELVIS 2.90;41976,11;$ 81.860;;1,950156887;
TELAS;ALHAMBRA;AL09-045;TELA ART 2150 ETAMIN SHIREFF 3.00;28072;$ 54.760;;1,950698205;
TELAS;ALHAMBRA;AL09-046;TELA ART 2209 CRETONA PLUS 3.00;10654,05;$ 20.760;;1,948554775;
TELAS;ALHAMBRA;AL09-047;TELA ART 2707 CERDEÑA  2.80 de Alhambra;41421,93;$ 81.100;;1,957900079;
TELAS;ALHAMBRA;AL09-048;TELA ART 2977 JOY 3.00;7815,39;$ 15.260;;1,95255771;
TELAS;ALHAMBRA;AL09-049;TELA ART 2978   TIGER   3.00;6466,24;$ 12.620;;1,951675162;
TELAS;ALHAMBRA;AL09-050;TELA ART 3177  NOIA 2.80;7056,72;$ 13.760;;1,949914408;
TELAS;ALHAMBRA;AL09-051;TELA ART 3323 VOILE LISO COLOR 3.00;4409,24;$ 8.620;;1,95498544;
TELAS;ALHAMBRA;AL09-052;TELA ART 4299 TRIPLE DORADO 3.00;8096,11;$ 15.760;;1,946613868;
TELAS;ALHAMBRA;AL09-053;TELA ART 4415 RUSTICO DOTS 3.00;10598,39;$ 20.690;;1,952183303;
TELAS;ALHAMBRA;AL09-054;TELA ART 5030 VOILE CINTON 3.00;9493,66;$ 18.560;;1,954988908;
TELAS;ALHAMBRA;AL09-055;TELA ART 5063 GRAVITY COTTON 2.40;9671,53;$ 18.900;;1,954189254;
TELAS;ALHAMBRA;AL09-056;TELA ART 5099 VOILE RUSTICO ALEZIO 3.00;12639,66;$ 24.640;;1,949419526;
TELAS;ALHAMBRA;AL09-057;TELA ART 5120 MUSELINA FLAME 3.00;7835,96;$ 15.290;;1,951260599;
TELAS;ALHAMBRA;AL09-058;TELA ART 5138 ARPILLERA 2.90;0; $ -   ;;#¡VALOR!;
TELAS;ALHAMBRA;AL09-059;TELA ART 5153 VOILE LINO CON CHENIL 3.00;14718,44;$ 28.720;;1,951293751;
TELAS;ALHAMBRA;AL09-060;TELA ART 5154 VOILE LINO CON CHENIL 3.00;14718,44;$ 28.720;;1,951293751;
TELAS;ALHAMBRA;AL09-061;TELA ART 5218   DA 18   3.00;5899,96;$ 11.560;;1,959335318;
TELAS;ALHAMBRA;AL09-062;TELA ART 5249   POPY  2.80;6102,03;$ 11.900;;1,950170681;
TELAS;ALHAMBRA;AL09-063;TELA ART 5375  MELANGE  2.90;0; $ -   ;;#¡VALOR!;
TELAS;ALHAMBRA;AL09-064;TELA ART 5415 GASA ARRUGADA 2.70;9254,08;$ 18.100;;1,955894049;
TELAS;ALHAMBRA;AL09-065;TELA ART 5614  VOILE LUCCA 3.00;9901,43;$ 19.320;;1,951233307;
TELAS;ALHAMBRA;AL09-066;TELA ART 5622 ORGANZA DE LINO 2.70;9786,48;$ 19.100;;1,951672103;
TELAS;ALHAMBRA;AL09-067;TELA ART 5626 GASA BAMBOO 2.80;11971,74;$ 23.360;;1,951261888;
TELAS;ALHAMBRA;AL09-068;TELA ART 5921 RUSTICO LISO 2.80;13215,62;$ 25.790;;1,951478629;
TELAS;ALHAMBRA;AL09-069;TELA ART 5922 RUSTICO PACORA 2.80;14706,34;$ 28.690;;1,950859289;
TELAS;ALHAMBRA;AL09-070;TELA ART 5927 RUSTICO LISO 2.80;10197,88;$ 19.860;;1,94746359;
TELAS;ALHAMBRA;AL09-071;TELA ART 5938 LINO POL / VISCOSA 2.80;9199,63;$ 17.960;;1,952252428;
TELAS;ALHAMBRA;AL09-072;TELA ART 5957 LINO RAYADO 2.80;12888,92;$ 25.160;;1,952064254;
TELAS;ALHAMBRA;AL09-073;TELA ART 5958 LINO RAYADO 2.80;13393,49;$ 26.120;;1,95020118;
TELAS;ALHAMBRA;AL09-074;TELA ART 5960 LINO BUTONE 2.80;10212,4;$ 19.920;;1,950569895;
TELAS;ALHAMBRA;AL09-075;TELA ART 5962 LINO BUTONE RAYADO 2.80 (NO HAY);8807,59;$ 0;;0;
TELAS;ALHAMBRA;AL09-076;TELA ART 6033 LINO RAYAS COLOR 2.80;11549,45;$ 22.560;;1,953339769;
TELAS;ALHAMBRA;AL09-077;TELA ART 6036 LINO LISO COMPOSE 2.80;10270,48;$ 19.970;;1,944407662;
TELAS;ALHAMBRA;AL09-078;TELA ART 6165 PORTEVEDRA 2.80;13234,98;$ 25.860;;1,95391304;
TELAS;ALHAMBRA;AL09-079;TELA ART 6421  CASASOLA  2.80;7096,65;$ 13.900;;1,95867064;
TELAS;ALHAMBRA;AL09-080;TELA ART 6422  DURUERO  2.80;7806,92;$ 15.260;;1,954676108;
TELAS;ALHAMBRA;AL09-081;TELA ART 6511 HILO FANTASIA 3.00;7786,35;$ 15.190;;1,950849885;
TELAS;ALHAMBRA;AL09-082;TELA ART 7455 VOILE FLAME 3.00;22417,67;$ 43.760;;1,952031589;
TELAS;ALHAMBRA;AL09-083;TELA ART 7511 HILO CRASH FSIA 2.80;12340,79;$ 24.120;;1,954493999;
TELAS;ALHAMBRA;AL09-084;TELA ART 7635 GASA COLOR 2.80;13842,4;$ 26.970;;1,948361556;
TELAS;ALHAMBRA;AL09-085;TELA ART 7934  TELA BELGICA  3.00;21535,58;$ 41.960;;1,948403526;
TELAS;ALHAMBRA;AL09-086;TELA ART 13045  FRANCESCA  2.80;22810,92;$ 44.520;;1,951696819;
TELAS;ALHAMBRA;AL09-087;TELA ART 20220 ORGANZA LINO 100% 3.00;66380,6;$ 129.400;;1,949364724;
TELAS;ALHAMBRA;AL09-089;BLACK OUT  ART 426  BASIC 100% 2.80;20170,7;$ 39.400;;1,953328343;
TELAS;ALHAMBRA;AL09-090;BLACK OUT  ART 511  DUO LUCA  2.80;29649,84;$ 57.800;;1,9494203;
TELAS;ALHAMBRA;AL09-091;BLACK OUT  ART 644  DUO TRAMA  2.80;24740,87;$ 48.200;;1,948193414;
TELAS;ALHAMBRA;AL09-092;BLACK OUT  ART 715  DUO PLANO  2.80;20856,77;$ 40.660;;1,949486905;
TELAS;ALHAMBRA;AL09-093;BLACK OUT  ART 1083  SUN OUT SHANTUG 2.80;15592,06;$ 30.400;;1,949710301;
TELAS;ALHAMBRA;AL09-094;BLACK OUT  ART 1350  GARDENIA  1.40;18987,32;$ 37.100;;1,953935574;
TELAS;ALHAMBRA;AL09-095;BLACK OUT  ART 1355  GARDENIA 2.80;37989,16;$ 74.000;;1,947924092;
TELAS;ALHAMBRA;AL09-096;BLACK OUT  ART 1381 CAMUSSA 100% 2,80;33546,04;$ 65.400;;1,949559471;
TELAS;ALHAMBRA;AL09-097;BLACK OUT  ART 1748  SPRING 100% 1.43;15502,52;$ 30.200;;1,948070378;
TELAS;ALHAMBRA;AL09-098;BLACK OUT  ART 1750  SPRING 100% 2.80;31009,88;$ 60.400;;1,947766325;
TELAS;ALHAMBRA;AL09-099;TELA ART 166 GABARDINA 6 OZ  1.60;4026,88;$ 7.860;;1,951883344;
TELAS;ALHAMBRA;AL09-100;TELA ART 168 GABARDINA 8 OZ  1.60;5020,29;$ 9.790;;1,950086549;
TELAS;ALHAMBRA;AL09-101;TELA ART 280 PERCAL 144 HILOS  2.90;5972,56;$ 11.640;;1,948913029;
TELAS;ALHAMBRA;AL09-102;TELA ART 296 PERCAL 180 HILOS  2.95;8430,07;$ 16.440;;1,950161742;
TELAS;ALHAMBRA;AL09-103;TELA ART 1232 TUSOR FOLK LISO 2.70;11770,88;$ 22.960;;1,950576338;
TELAS;ALHAMBRA;AL09-104;TELA ART 1288 TUSOR FOLK RAYADO 2.70;12985,72;$ 25.320;;1,949834125;
TELAS;ALHAMBRA;AL09-105;TELA ART 1291 TUSOR FOLK PUNTADA 2.70;12985,72;$ 25.320;;1,949834125;
TELAS;ALHAMBRA;AL09-106;TELA ART 1292 TUSOR FIDO 2.80;12934,9;$ 25.220;;1,949763817;
TELAS;ALHAMBRA;AL09-107;TELA ART 1293 TUSOR OSLO 2.80;13270,07;$ 25.860;;1,948746314;
TELAS;ALHAMBRA;AL09-108;TELA ART 1462  PANAMA  2.90;13583,46;$ 26.490;;1,950165863;
TELAS;ALHAMBRA;AL09-109;TELA ART 1614  MADRAZ  3.00;12953,05;$ 25.260;;1,950119856;
TELAS;ALHAMBRA;AL09-110;TELA ART 1633 ACRILON LISO ART 1634 RAYAS 2.80;16397,92;$ 31.970;;1,949637515;
TELAS;ALHAMBRA;AL09-111;TELA ART 1634 ACRILON RAYADO 2.80;16397,92;$ 31.970;;1,949637515;
TELAS;ALHAMBRA;AL09-112;TELA ART 2847  URBANO  3.00;14913,25;$ 29.100;;1,951284931;
TELAS;ALHAMBRA;AL09-113;TELA ART 3250 PREMIUM JAQUARDS 2.80;20092,05;$ 39.160;;1,949029591;
TELAS;ALHAMBRA;AL09-114;TELA ART 3465  GROS LISO  3.00;8444,59;$ 16.460;;1,949176929;
TELAS;ALHAMBRA;AL09-115;TELA ART 5076 WRINKLE MIL RAYAS 2.70;10788,36;$ 21.100;;1,955811634;
TELAS;ALHAMBRA;AL09-116;TELA ART 5077 WRINKLE LISO 2.70;10447,14;$ 20.360;;1,948858731;
TELAS;ALHAMBRA;AL09-117;TELA ART 5091 NOIA WASHED 1.60;9687,26;$ 18.760;;1,936564106;
TELAS;ALHAMBRA;AL09-118;TELA ART 5092 CORUÑA WASHED 1.60;9687,26;$ 18.860;;1,946886942;
TELAS;ALHAMBRA;AL09-119;TELA ART 5093 BETANZOS WASHED 1.60;9687,26;$ 18.860;;1,946886942;
TELAS;ALHAMBRA;AL09-120;TELA ART 5126 COTTON CRASH CUADROS 1.40;8166,29;$ 15.920;;1,94947767;
TELAS;ALHAMBRA;AL09-121;TELA ART 5434 TUSOR CUADROS  2.70;13002,66;$ 25.340;;1,948832008;
TELAS;ALHAMBRA;;TELA ART 5400 TUSOR 2.70;13002,66;$ 25.340;;1,948832008;
TELAS;ALHAMBRA;AL09-122;TELA ART 5763 COTTON CRASH 2.60;12750,98;$ 24.860;;1,949654066;
TELAS;ALHAMBRA;AL09-123;TELA ART 5956 LINO POLIESTER PESADO 1.50;12276,66;$ 23.940;;1,950041787;
TELAS;ALHAMBRA;AL09-124;TELA ART 5969 LINO BAYONA 1.40;12671,12;$ 24.700;;1,949314662;
TELAS;ALHAMBRA;AL09-125;TELA ART 5970 LINO NAVARRA 1.40;11205,81;$ 21.860;;1,95077375;
TELAS;ALHAMBRA;AL09-126;TELA ART 9010  MILANO LISO  2.80;13803,68;$ 26.920;;1,950204583;
TELAS;ALHAMBRA;AL09-127;TELA ART 9062   RICCIA   2.80;13804,89;$ 26.900;;1,948584886;
TELAS;ALHAMBRA;AL09-128;TELA ART 9064   BOJANO   2.80;13804,89;$ 26.900;;1,948584886;
TELAS;ALHAMBRA;AL09-129;TELA ART 1409 PAPIRO 2.80;12985,72;$ 25.320;;1,949834125;
TELAS;ALHAMBRA;AL09-130;TELA ART 1411 PAPIRO GUARDAS 2.80;13916,21;$ 27.160;;1,95168081;
TELAS;ALHAMBRA;AL09-131;TELA ART 1417 ALMENDRA 1.50;13698,41;$ 26.760;;1,953511393;
TELAS;ALHAMBRA;AL09-132;TELA ART 1418 KANPUR 1.50;17737,39;$ 34.600;;1,950681583;
TELAS;ALHAMBRA;AL09-133;TELA ART 14XX MINORI 1.50;15312,55;$ 29.860;;1,950034449;
TELAS;ALHAMBRA;AL09-134;TELA ART 1438 LUMA 1.50;14126,75;$ 27.560;;1,950908737;
TELAS;ALHAMBRA;AL09-135;TELA ART 1441 LUCHI LISO 2.80;12062,49;$ 23.600;;1,956478306;
TELAS;ALHAMBRA;AL09-136;TELA ART 1445 AZUMI RAYA 2.80;12062,49;$ 23.600;;1,956478306;
TELAS;ALHAMBRA;AL09-137;TELA ART 1450 GREICY 1.50;10980,75;$ 21.440;;1,952507798;
TELAS;ALHAMBRA;AL09-138;TELA ART 1452 NINAV 1.50;16418,49;$ 32.100;;1,955112803;
TELAS;ALHAMBRA;AL09-139;TELA ART 1460 SURAT 1.50;14078,35;$ 27.460;;1,950512667;
TELAS;ALHAMBRA;AL09-140;TELA ART 1478 MARSALA DOBLE FAZ 2.80;18992,16;$ 37.100;;1,953437629;
TELAS;ALHAMBRA;AL09-141;TELA ART 3375   RAMPUR   2.85;31954,89;$ 62.320;;1,950249242;
TELAS;ALHAMBRA;AL09-142;TELA ART 3400 SHEEP 1.30;20739,4;$ 40.420;;1,948947414;
TELAS;ALHAMBRA;AL09-143;TELA ART 3545  SIEMBRA  1.30;12691,69;$ 24.760;;1,950882822;
TELAS;ALHAMBRA;AL09-144;TELA ART 3546   TABA   1.30;15703,38;$ 30.620;;1,949898684;
TELAS;ALHAMBRA;AL09-145;TELA ART 3549   CIRILO   1.30;14464,34;$ 28.200;;1,949622313;
TELAS;ALHAMBRA;AL09-146;TELA ART 3551   CEIBO   1.30;16764,55;$ 32.690;;1,949947956;
TELAS;ALHAMBRA;AL09-147;TELA ART 3553   RED   1.30;14905,99;$ 29.060;;1,949551824;
TELAS;ALHAMBRA;AL09-148;TELA ART 3663   CALVIN   1.30;12466,63;$ 24.300;;1,949203594;
TELAS;ALHAMBRA;AL09-149;TELA ART 3735   PHILIPPA   2.65;19345,48;$ 37.720;;1,949809465;
TELAS;ALHAMBRA;AL09-150;TELA ART 3740   AIREADO   2.80;20825,31;$ 40.620;;1,950511181;
TELAS;ALHAMBRA;AL09-151;TELA ART 466 BORDADO VALENTINA XL VOILE 3.00;9914,74;$ 19.400;;1,956682676;
TELAS;ALHAMBRA;AL09-152;TELA ART 467 BORDADO VALENTINA XL HILO 3.00;11491,37;$ 22.400;;1,949288901;
TELAS;ALHAMBRA;AL09-153;TELA ART 468 BORDADO FRONDA XL VOILE 3.00;9914,74;$ 19.340;;1,950631081;
TELAS;ALHAMBRA;AL09-154;TELA ART 469 BORDADO AIMEE HILO 3.00;11491,37;$ 22.400;;1,949288901;
TELAS;ALHAMBRA;AL09-155;TELA ART 471 BORDADO AUGUSTA XL HILO 2.80;11491,37;$ 22.400;;1,949288901;
TELAS;ALHAMBRA;AL09-156;TELA ART 472 BORDADO PERLA XL VOILE 3.00;9914,74;$ 19.340;;1,950631081;
TELAS;ALHAMBRA;AL09-157;TELA ART 473 BORDADO PERLA HILO 2.80;11491,37;$ 22.400;;1,949288901;
